3325347383,152.49
3325347377,154.4
3325347390,148.29
1577082381,162.12
1577082383,161.61
1577082385,161.59
1577082388,161.64
7787302973,159.92
7787302972,160.36
253103872,55.12
7787302975,160.71
8599240858,62.73
1577082391,161.67
7787302974,160.74
8599240859,62.87
3365456001,51.6
1577082394,161.68
3325347374,154.08
610411641,82.4
10860267339,60.2
1577082396,161.66
1577082398,161.32
1577082400,160.12
845951560,65.4
6612355588,59.6
6612355591,59.8
1577082410,156.43
1577082412,156.02
1577082413,156.24
1577082415,155.77
1577082417,151.51
1577082419,150.59
6612355602,59.54
8448833452,159.38
3325347441,91.19
3325347453,78.91
3325347454,86.75
3325347455,86.52
3325347448,79.02
3325347449,83.91
3325347451,83.04
3325347427,91.69
26608119,59.71
1465800511,56.5
26608116,60.03
26608114,59.72
26608124,59.08
3325347418,90.38
3325347396,124.86
26608100,58.83
3325347398,104.67
3325347393,132.96
3325347395,126.58
26608107,59.41
4311351419,85.24
1810000739,59.79
1810000737,59.78
1810000742,60.49
1810000740,60.96
1810000746,55.52
26607874,58.07
5440029908,119.17
8019434857,59.51
8019434856,59.58
8019434854,59.89
8019434851,59.96
8019434849,59.64
8019434848,59.68
8019434847,59.7
638592689,76.93
10875996387,149.38
1247038192,170.36
638592693,76.78
1247038193,167.97
10059405105,60.37
1247038194,170.29
10059405106,60.28
638592696,76.81
9299831546,128.4
9299831547,129.21
638592698,76.78
9299831545,128.43
9299831550,129.58
1247038201,166.84
9299831551,130.42
9299831548,129.76
638592703,76.16
1247038203,164.84
9299831549,129.98
8019434831,59.95
8019434830,59.53
8019434829,59.54
8019434827,59.87
1810000727,59.54
3763134713,59.81
8019434826,59.61
2494600198,59.42
3763134714,59.64
3325347459,80.84
3763134715,59.87
8019434824,59.7
8019434823,59.69
707144351,126.91
1810000728,59.52
1247038191,166.95
8019172672,60.15
9989149656,138.42
9989149657,140.42
9989149658,143.89
10060977938,54.55
9989149659,135.94
638592722,76.92
638592723,77.4
638592724,78.02
1424249890,139.2
10757636605,62.26
638592732,77.08
638592706,76.3
2448724263,126.37
638592709,76.5
638592711,76.11
2448724271,126.7
6886824608,59.95
610411709,79.05
2448724267,126.62
10936421182,48.06
638592753,76.16
638592756,76.27
638592759,76.11
2632752132,145.48
6886824597,61.02
638592761,75.98
638592763,76.46
638592764,77.8
2632752129,145.1
638592766,76.65
638592767,76.38
1165772172,158.78
638592739,76.85
1165772168,158.92
